"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","richness","shannon.16s","ef.16s"
"exp2_94_DAY1_tube",1.1195,"94","1","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.004495526,25.96643903,NA,NA,NA,NA,40,2.63985665684953,14
"exp2_94_DAY15_tube",16.4535,"94","15","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.012512665,6997.938711,NA,NA,NA,NA,30,2.36588067464389,11
"exp2_94_DAY57_tube",6.5285,"94","57","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.162805835,795.4307542,31240.30454,7.4,"LT",20,33,1.93398506884279,7
"exp2_95_DAY1_tube",0.6385,"95","1","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.017431977,48.16151396,NA,NA,NA,NA,43,2.71471162714772,15
"exp2_95_DAY15_tube",7.3735,"95","15","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.055855786,1416.450335,NA,NA,NA,NA,43,2.73017359748324,15
"exp2_95_DAY57_tube",5.8085,"95","57","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.091922247,1642.099871,20256.52992,7.86,"LT",20,48,2.86867170437255,18
"exp2_96_DAY1_tube",0.502,"96","1","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.011916989,48.20324214,NA,NA,NA,NA,41,2.650312854094,14
"exp2_96_DAY15_tube",4.9835,"96","15","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.077409144,2276.470074,NA,NA,NA,NA,39,2.4574545016361,12
"exp2_96_DAY57_tube",6.8185,"96","57","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.090839938,780.2964497,19849.09562,7.89,"LT",20,79,2.84062844709722,17
"exp2_MIX_GROUP1",1.926,"MIX","0","MIX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,2.43067629637588,11
"exp2_MIX_GROUP2",6.0085,"MIX","0","MIX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,2.39600605120803,11
"exp2_MIX_GROUP3",2.7385,"MIX","0","MIX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,2.55149275763232,13
"exp2_MIX_GROUP4",2.8285,"MIX","0","MIX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,2.8478722249152,17
