"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","scaled_chit","scaled_prot","richness","shannon.16s","ef.16s"
"exp2_4_DAY1_tube",2.111,"4","1","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.013761194,346.9332169,NA,NA,NA,NA,-1.16581011802888,-0.231664191320444,40,2.66968437929522,14.4354123587026
"exp2_4_DAY15_tube",2.8635,"4","15","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.111931227,890.0551064,13682.94766,NA,NA,NA,0.196682392941803,0.779593923826183,43,2.90624045969227,18.2879150092745
"exp2_4_DAY57_tube",5.666,"4","57","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.064091655,557.870732,3414.047253,7.95,"LT",20,-0.467278457290803,0.161087929442199,47,1.68575197729609,5.3965074580374
"exp2_5_DAY1_tube",2.331,"5","1","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.007094876,312.2595401,NA,NA,NA,NA,-1.25833130879541,-0.296224353088646,40,2.67860509771137,14.5647626987572
"exp2_5_DAY15_tube",10.8485,"5","15","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.09445435,1084.395235,20587.20906,NA,NA,NA,-0.0458775135793229,1.14144277570419,40,2.94944206807029,19.0952968797735
"exp2_5_DAY57_tube",2.121,"5","57","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.040673948,527.7115323,3647.651151,8.13,"LT",20,-0.792290575923846,0.104933434415254,43,2.8592770183271,17.4489071351162
"exp2_6_DAY1_tube",2.851,"6","1","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.009659062,278.5443813,NA,NA,NA,NA,-1.22274321622814,-0.358999815833013,33,2.7074015695528,14.9902736814984
"exp2_6_DAY15_tube",14.366,"6","15","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.061598437,1115.788381,20696.27113,NA,NA,NA,-0.501881591764816,1.19989479957992,41,2.88532236385088,17.9093399888702
"exp2_6_DAY57_tube",3.6435,"6","57","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.052576745,435.2712779,2771.766066,7.99,"LT",20,-0.627092793295981,-0.0671843889232189,46,2.32834278228005,10.2609228519352
"exp2_7_DAY1_tube",3.5085,"7","1","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.011633611,287.1397254,NA,NA,NA,NA,-1.19533863926274,-0.342995836539148,42,2.71940125091803,15.171235761479
"exp2_7_DAY15_tube",18.7735,"7","15","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.05533207,1098.691979,17779.41605,NA,NA,NA,-0.588851900804988,1.16806239584781,43,2.77721642416316,16.0742148203611
"exp2_7_DAY57_tube",8.0385,"7","57","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.050544383,521.0330533,2630.450552,8.01,"LT",20,-0.655299751366184,0.0924985349642235,45,1.96601193333497,7.14213630039067
"exp2_8_DAY1_tube",3.141,"8","1","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.011525727,300.6747587,NA,NA,NA,NA,-1.19683595099384,-0.317794472852618,42,2.7255417723532,15.2646816695487
"exp2_8_DAY15_tube",6.4885,"8","15","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.057049184,1077.488548,19644.91555,NA,NA,NA,-0.565020239614827,1.12858296759747,37,2.79734362674552,16.4010216192309
"exp2_8_DAY57_tube",2.162,"8","57","tube","temp22_ph4_food6",6,4,22,"3/14/22",0.045582293,508.5842888,1814.055818,8.08,"LT",20,-0.724168124505699,0.0693197340954836,43,2.47459877393919,11.8769408188034
"exp2_81_DAY1_tube",0.726,"81","1","tube","temp22_ph3_food3",3,3,22,"3/21/22",0.021749407,94.48773989,NA,NA,NA,NA,-1.05494247282254,-0.701701474283653,42,2.11479545807473,8.28789037168247
"exp2_81_DAY15_tube",8.906,"81","15","tube","temp22_ph3_food3",3,3,22,"3/21/22",NA,711.4893343,23673.71792,NA,NA,NA,NA,0.447115911772964,48,2.90053807553912,18.1839270639201
"exp2_81_DAY57_tube",1.547,"81","57","tube","temp22_ph3_food3",3,3,22,"3/21/22",0.088100595,1081.214737,2744.171592,7.88,"LT",20,-0.13406067232434,1.13552089246787,88,2.98885286144651,19.8628839375664
"exp2_82_DAY1_tube",0.801,"82","1","tube","temp22_ph3_food3",3,3,22,"3/21/22",0.022051084,89.66002551,NA,NA,NA,NA,-1.05075552655522,-0.710690368745041,40,2.1996829294358,9.02215238692323
