,rowname,ID,BetaNTI,dna_con_ug_ml,sample_id,day,container,treatment_combo,food,ph,temperature,data_inoculated,chitinase,protease,respiration_co2_ppm_hr,ph_final,color,final_volume_ml
193,exp2_MIX_GROUP1,exp2_24_DAY1_tube,0.526658516,1.006,24,1,tube,temp37_ph4_food6,6,4,37,3/14/22,0.023404312,350.289928,NA,NA,NA,NA
197,exp2_MIX_GROUP1,exp2_24_DAY15_tube,-0.605982982,3.646,24,15,tube,temp37_ph4_food6,6,4,37,3/14/22,0.194296022,162.3374264,3115.39607,NA,NA,NA
201,exp2_MIX_GROUP1,exp2_24_DAY57_tube,-0.83716555,3.712,24,57,tube,temp37_ph4_food6,6,4,37,3/14/22,0.127394175,289.2176971,11181.30937,7.98,LT,20
205,exp2_MIX_GROUP1,exp2_25_DAY1_tube,0.869457607,2.9335,25,1,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.050405758,361.9401923,NA,NA,NA,NA
209,exp2_MIX_GROUP1,exp2_25_DAY15_tube,-1.143713485,3.566,25,15,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.215464119,240.8021536,5627.401045,NA,NA,NA
213,exp2_MIX_GROUP1,exp2_25_DAY57_tube,-1.233040056,1.347,25,57,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.213946602,273.2857518,3322.964659,7.77,LT,20
217,exp2_MIX_GROUP1,exp2_26_DAY1_tube,0.812850411,1.3735,26,1,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.047337019,198.9162103,NA,NA,NA,NA
221,exp2_MIX_GROUP1,exp2_26_DAY15_tube,-1.031991378,2.4885,26,15,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.213660296,208.26679,5699.567671,NA,NA,NA
225,exp2_MIX_GROUP1,exp2_26_DAY57_tube,-0.664997593,1.207,26,57,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.189573786,349.9257023,6482.039167,7.74,LT,20
229,exp2_MIX_GROUP1,exp2_27_DAY1_tube,0.777090802,1.3935,27,1,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.049436588,202.8878914,NA,NA,NA,NA
233,exp2_MIX_GROUP1,exp2_27_DAY15_tube,-0.254807493,2.5385,27,15,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.185146256,240.4644134,4564.379495,NA,NA,NA
237,exp2_MIX_GROUP1,exp2_27_DAY57_tube,-0.430119949,4.801,27,57,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.176946602,238.7398319,6203.261488,7.72,LT,20
241,exp2_MIX_GROUP1,exp2_28_DAY1_tube,0.196345715,1.001,28,1,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.048016063,181.8004954,NA,NA,NA,NA
245,exp2_MIX_GROUP1,exp2_28_DAY15_tube,-0.966061299,2.3885,28,15,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.186657566,224.652557,4642.532686,NA,NA,NA
249,exp2_MIX_GROUP1,exp2_28_DAY57_tube,-0.382161314,3.7535,28,57,tube,temp37_ph5.6_food3,3,5.6,37,3/14/22,0.238524272,296.5251299,4132.556335,7.76,LT,20
253,exp2_MIX_GROUP1,exp2_29_DAY1_tube,0.476219907,4.6685,29,1,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.021087634,212.4142316,NA,NA,NA,NA
257,exp2_MIX_GROUP1,exp2_29_DAY15_tube,-0.555468254,4.5285,29,15,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.219315523,221.8036483,7024.578708,NA,NA,NA
261,exp2_MIX_GROUP1,exp2_29_DAY57_tube,-0.551354115,3.9635,29,57,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.143070874,227.0323818,7794.594019,7.91,LT,20
277,exp2_MIX_GROUP1,exp2_30_DAY1_tube,0.182334867,3.036,30,1,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.019392183,246.4406715,NA,NA,NA,NA
281,exp2_MIX_GROUP1,exp2_30_DAY15_tube,-1.094636738,4.686,30,15,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.230006825,147.8963493,5569.733972,NA,NA,NA
285,exp2_MIX_GROUP1,exp2_30_DAY57_tube,-0.547730341,1.186,30,57,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.141667961,275.986397,7771.303597,7.98,LT,20
289,exp2_MIX_GROUP1,exp2_31_DAY1_tube,0.359152382,2.781,31,1,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.020536292,252.6473128,NA,NA,NA,NA
293,exp2_MIX_GROUP1,exp2_31_DAY15_tube,-1.058584158,6.156,31,15,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.219725039,178.6786018,4253.195707,NA,NA,NA
297,exp2_MIX_GROUP1,exp2_31_DAY57_tube,-0.646387849,5.776,31,57,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.144375728,292.307948,7381.470392,8.02,LT,20
301,exp2_MIX_GROUP1,exp2_32_DAY1_tube,-0.854131684,1.901,32,1,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.023239357,252.5296334,NA,NA,NA,NA
305,exp2_MIX_GROUP1,exp2_32_DAY15_tube,-1.267299988,3.011,32,15,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.204343799,175.4952559,7350.746246,NA,NA,NA
309,exp2_MIX_GROUP1,exp2_32_DAY57_tube,-0.809725448,9.011,32,57,tube,temp37_ph5.6_food6,6,5.6,37,3/14/22,0.108078017,284.2159851,2896.430861,7.95,LT,20
374,exp2_MIX_GROUP2,exp2_81_DAY1_tube,-0.256766298,0.726,81,1,tube,temp22_ph3_food3,3,3,22,3/21/22,0.021749407,94.48773989,NA,NA,NA,NA
378,exp2_MIX_GROUP2,exp2_81_DAY15_tube,-0.247973151,8.906,81,15,tube,temp22_ph3_food3,3,3,22,3/21/22,NA,711.4893343,23673.71792,NA,NA,NA
382,exp2_MIX_GROUP2,exp2_81_DAY57_tube,-0.667667224,1.547,81,57,tube,temp22_ph3_food3,3,3,22,3/21/22,0.088100595,1081.214737,2744.171592,7.88,LT,20
386,exp2_MIX_GROUP2,exp2_82_DAY1_tube,-0.439521541,0.801,82,1,tube,temp22_ph3_food3,3,3,22,3/21/22,0.022051084,89.66002551,NA,NA,NA,NA
390,exp2_MIX_GROUP2,exp2_82_DAY15_tube,-0.815124344,3.2145,82,15,tube,temp22_ph3_food3,3,3,22,3/21/22,NA,702.7033017,19393.21631,NA,NA,NA
394,exp2_MIX_GROUP2,exp2_82_DAY57_tube,-0.498070988,1.7545,82,57,tube,temp22_ph3_food3,3,3,22,3/21/22,0.092753592,836.0050609,2403.693526,7.94,LT,20
398,exp2_MIX_GROUP2,exp2_83_DAY1_tube,0.767153866,1.0735,83,1,tube,temp37_ph3_food3,3,3,37,3/21/22,0.009545045,20.90609735,NA,NA,NA,NA
402,exp2_MIX_GROUP2,exp2_83_DAY15_tube,-0.497634985,5.492,83,15,tube,temp37_ph3_food3,3,3,37,3/21/22,NA,106.4580481,16833.59055,NA,NA,NA
406,exp2_MIX_GROUP2,exp2_83_DAY57_tube,-0.562892518,4.4085,83,57,tube,temp37_ph3_food3,3,3,37,3/21/22,0.200826028,504.7124521,1145.8506,7.7,LT,20
410,exp2_MIX_GROUP2,exp2_84_DAY1_tube,0.10632504,0.9485,84,1,tube,temp37_ph3_food3,3,3,37,3/21/22,0.008763499,21.11351825,NA,NA,NA,NA
414,exp2_MIX_GROUP2,exp2_84_DAY15_tube,-0.169036837,1.567,84,15,tube,temp37_ph3_food3,3,3,37,3/21/22,NA,118.9177269,16065.79522,NA,NA,NA
418,exp2_MIX_GROUP2,exp2_84_DAY57_tube,-0.128247879,2.431,84,57,tube,temp37_ph3_food3,3,3,37,3/21/22,0.216985404,574.6638665,1427.113561,7.59,LT,20
422,exp2_MIX_GROUP2,exp2_85_DAY1_tube,0.324718095,1.7685,85,1,tube,temp22_ph3_food6,6,3,22,3/21/22,0.012124423,63.96111497,NA,NA,NA,NA
426,exp2_MIX_GROUP2,exp2_85_DAY15_tube,0.348798636,6.2145,85,15,tube,temp22_ph3_food6,6,3,22,3/21/22,NA,723.0858497,29905.60424,NA,NA,NA
430,exp2_MIX_GROUP2,exp2_85_DAY57_tube,-1.002276313,7.511,85,57,tube,temp22_ph3_food6,6,3,22,3/21/22,0.11399826,861.4555135,15549.95385,7.9,LT,20
434,exp2_MIX_GROUP2,exp2_86_DAY1_tube,-0.405657619,1.7235,86,1,tube,temp22_ph3_food6,6,3,22,3/21/22,0.011183921,65.23600157,NA,NA,NA,NA
438,exp2_MIX_GROUP2,exp2_86_DAY15_tube,-0.608218504,3.581,86,15,tube,temp22_ph3_food6,6,3,22,3/21/22,NA,839.7247137,29368.89956,NA,NA,NA
442,exp2_MIX_GROUP2,exp2_86_DAY57_tube,-0.642256685,3.2045,86,57,tube,temp22_ph3_food6,6,3,22,3/21/22,0.055669348,815.8081494,18753.4236,8.1,LT,20
